   X       Y         Z      JointType
-0.1993034 -0.5380746 1.700252 16
-0.1892448 -0.8273378 1.657244 17
-0.2568934 -0.02553636 1.821558 20
-0.4799265 -0.6140828 1.606789 21
-0.4308941 -0.5145019 1.636226 22
-0.002044475 -0.5959116 1.649022 23
-0.02570369 -0.5232414 1.697769 24
-0.2766978 -0.5435297 1.726142 0
-0.2659385 -0.2438106 1.78589 1
-0.2534701 0.04554015 1.830227 2
-0.2598979 0.1603314 1.866086 3
-0.4046683 -0.07156534 1.789835 4
-0.4727992 -0.3089442 1.747238 5
-0.4879695 -0.485171 1.64014 6
-0.4844619 -0.5335228 1.629562 7
-0.09169664 -0.08947995 1.835843 8
-0.0412415 -0.31112 1.793641 9
-0.0004938402 -0.4850847 1.68891 10
-0.002034168 -0.5186965 1.662835 11
-0.3435147 -0.5278462 1.683963 12
-0.3295849 -0.8142505 1.657383 13
-0.1993034 -0.5380746 1.700252 16
-0.1892448 -0.8273378 1.657244 17
-0.2568934 -0.02553636 1.821558 20
-0.4799265 -0.6140828 1.606789 21
-0.4308941 -0.5145019 1.636226 22
-0.002044475 -0.5959116 1.649022 23
-0.02570369 -0.5232414 1.697769 24
-0.2768777 -0.5437924 1.726019 0
-0.2661537 -0.2439247 1.78588 1
-0.2538273 0.04563856 1.830327 2
-0.2605591 0.1602518 1.866131 3
-0.4048557 -0.07185534 1.790165 4
-0.472901 -0.3093539 1.747988 5
-0.4877358 -0.4857398 1.641198 6
-0.4848433 -0.5332631 1.630173 7
-0.09301846 -0.08993103 1.835086 8
-0.04140415 -0.3110709 1.793475 9
-0.0005408385 -0.485078 1.688945 10
-0.002488883 -0.5188386 1.663321 11
-0.3437374 -0.5282512 1.684017 12
-0.3295026 -0.8144969 1.657304 13
-0.1994459 -0.538236 1.700005 16
-0.1892882 -0.8272671 1.657169 17
-0.2571924 -0.02550914 1.821629 20
-0.478735 -0.6141335 1.608144 21
-0.4287319 -0.5132678 1.634211 22
-0.002621363 -0.5950091 1.647099 23
-0.02805836 -0.5182595 1.711 24
-0.2768777 -0.5437924 1.726019 0
-0.2661537 -0.2439247 1.78588 1
-0.2538273 0.04563856 1.830327 2
